Country (or territory),Subregion,Region,IMF[1],IMF[1],World Bank[5],World Bank[5],CIA[6],CIA[6]
Country (or territory),Subregion,Region,Estimate,Year,Estimate,Year,Estimate,Year
China *,Eastern Asia,Asia,26656766.0,2021.0,24273360.0,2020.0,22526502,2019
United States *,Northern America,Americas,22675271.0,2021.0,20936600.0,2020.0,20524945,2019
India *,Southern Asia,Asia,10207290.0,2021.0,9907028.0,2020.0,10155083,2019
Japan *,Eastern Asia,Asia,5585786.0,2021.0,5328033.0,2019.0,5231066,2019
Germany *,Western Europe,Europe,4743673.0,2021.0,4469546.0,2020.0,4482448,2019
Russia *,Eastern Europe,Europe,4328122.0,2021.0,4133084.0,2020.0,3968180,2019
Indonesia *,South-eastern Asia,Asia,3507239.0,2021.0,3302377.0,2020.0,3196682,2019
Brazil *,South America,Americas,3328459.0,2021.0,3153597.0,2020.0,3092216,2019
France *,Western Europe,Europe,3231927.0,2021.0,3115307.0,2020.0,3097061,2019
United Kingdom *,Northern Europe,Europe,3174921.0,2021.0,3019057.0,2020.0,3118396,2019
Turkey *,Western Asia,Asia,2749570.0,2021.0,2371568.0,2020.0,2371374,2019
Mexico *,North America,Americas,2613797.0,2021.0,2428201.0,2020.0,2525481,2019
Italy *,Southern Europe,Europe,2610563.0,2021.0,2491740.0,2020.0,2562135,2019
South Korea *,Eastern Asia,Asia,2436872.0,2021.0,2233001.0,2020.0,2211315,2019
Canada *,Northern America,Americas,1978816.0,2021.0,1827010.0,2020.0,1843053,2019
Spain *,Southern Europe,Europe,1959037.0,2021.0,1815204.0,2020.0,1925576,2019
Saudi Arabia *,Western Asia,Asia,1705519.0,2021.0,1627982.0,2020.0,1609323,2019
Australia *,"Australia, New Zealand",Oceania,1415564.0,2021.0,1349040.0,2020.0,1264514,2019
Taiwan *,Eastern Asia,Asia,1403663.0,2021.0,,,1143277,2019
Poland *,Eastern Europe,Europe,1363766.0,2021.0,1300375.0,2020.0,1261433,2019
Egypt *,Northern Africa,Africa,1346225.0,2021.0,1290208.0,2020.0,1180890,2019
Thailand *,South-eastern Asia,Asia,1329324.0,2021.0,1272885.0,2020.0,1285287,2019
Iran *,Western Asia,Asia,1148580.0,2021.0,1101658.0,2020.0,1027238,2019
Vietnam *,South-eastern Asia,Asia,1148054.0,2021.0,842042.0,2020.0,775669,2019
Nigeria *,Western Africa,Africa,1116255.0,2021.0,1069189.0,2020.0,1032048,2019
Pakistan *,Southern Asia,Asia,1110075.0,2021.0,1077210.0,2020.0,1015796,2019
Netherlands *,Western Europe,Europe,1055502.0,2021.0,1033018.0,2020.0,986847,2019
Argentina *,South America,Americas,1015008.0,2021.0,942367.0,2020.0,991523,2019
Philippines *,South-eastern Asia,Asia,1000617.0,2021.0,919424.0,2020.0,963121,2019
Malaysia *,South-eastern Asia,Asia,978781.0,2021.0,902586.0,2020.0,906239,2019
Bangladesh *,Southern Asia,Asia,966485.0,2021.0,837064.0,2020.0,775076,2019
Colombia *,South America,Americas,780262.0,2021.0,741128.0,2020.0,741099,2019
South Africa *,Southern Africa,Africa,753113.0,2021.0,717389.0,2020.0,730913,2019
United Arab Emirates *,Western Asia,Asia,683182.0,2021.0,683523.0,2019.0,655789,2019
Switzerland *,Western Europe,Europe,660862.0,2021.0,616263.0,2020.0,588472,2019
Romania *,Eastern Europe,Europe,636481.0,2021.0,616110.0,2020.0,579549,2019
Belgium *,Western Europe,Europe,623720.0,2021.0,600544.0,2020.0,596414,2019
Singapore *,South-eastern Asia,Asia,600063.0,2021.0,560200.0,2020.0,555193,2019
Sweden *,Northern Europe,Europe,589751.0,2021.0,564916.0,2020.0,547595,2019
