,0
AAPL,
ABBV,
ABT,
ACN,191.32237175789817
ADBE,68.8612989932453
AMZN,3651.7827034331285
AVGO,53.969961138055105
BAC,5.615551658109719
BRK.A,123.95377224148652
CMCSA,25.43742596314031
COST,36.625596822002365
CRM,409.70525621627445
CSCO,
CVX,
DHR,47.85605491303727
DIS,
FB,573.8641411625148
GOOG,805.8073623776061
HD,
HON,9.378287000879675
INTC,25.342825295911158
JNJ,
JPM,46.02047696295154
KO,
LLY,
MA,4.080932662462423
MCD,
MDT,
MRK,
MSFT,77.45924700591382
NEE,6.657842142694088
NFLX,1554.4169279669861
NKE,
NVDA,246.09487676937576
ORCL,
PEP,
PFE,
PG,
PYPL,17.216987139224116
QCOM,
T,3.596209130891576
TMO,71.0504658634892
TSLA,
TXN,
UNH,163.97819842218578
UPS,
V,27.153510017912005
VZ,
WMT,3.2684823942218744
XOM,
